region,Municipality,PM2.5,Distance to mines,Distance to roads,Precipitation,Temperature,Wind,Percentage of urban,Percentage of agriculture,Percentage of range land,Percentage forest,Percentage of barren land
Metropolitana de Santiago,Alhue,14.4,19.4,4.4,612.1,14.7,2.2,17.3,21.4,36.4,60.4,14.7
Valparaiso,Calle Larga,14.4,29.5,6.4,375.3,11.3,3.0,22.3,31.4,59.8,28.0,26.0
Libertador General Bernardo O'Higgins,Pichidegua,14.4,31.1,1.3,588.5,15.9,1.9,14.6,59.1,29.4,28.2,14.5
Valparaiso,San Felipe,14.3,15.7,1.9,297.7,14.8,2.3,17.6,53.6,43.7,25.4,12.1
Valparaiso,Los Andes,14.2,23.0,7.3,389.5,1.6,5.3,20.3,23.2,35.9,17.8,51.3
Valparaiso,Villa Alemana,14.2,33.5,1.7,457.6,15.0,2.5,38.2,18.8,37.0,44.8,18.2
Libertador General Bernardo O'Higgins,Palmilla,14.2,26.1,1.1,686.2,15.3,1.9,15.3,63.6,19.9,33.9,12.4
Metropolitana de Santiago,Tiltil,14.1,8.0,2.2,348.5,14.1,2.3,20.7,26.4,44.6,44.5,12.7
Biobio,San Pedro de la Paz,14.1,296.8,1.6,1166.1,12.6,3.5,35.2,17.5,21.2,46.9,19.0
Libertador General Bernardo O'Higgins,Santa Cruz,14.1,17.5,1.1,755.2,14.5,2.0,14.8,55.2,23.0,42.8,17.9
Valparaiso,Panquehue,13.9,12.7,1.7,297.2,15.0,2.2,15.8,54.5,44.4,27.4,11.1
Valparaiso,San Antonio,13.9,14.0,1.4,492.0,15.9,2.8,16.0,31.4,39.0,37.9,11.3
Valparaiso,Llaillay,13.5,12.0,2.0,315.5,14.5,2.3,15.6,42.2,42.2,37.2,11.1
Valparaiso,Concon,13.5,30.3,1.5,444.6,14.9,3.0,21.9,26.0,30.9,39.9,16.7
Libertador General Bernardo O'Higgins,Las Cabras,13.5,37.6,2.1,517.2,15.9,2.1,14.4,37.1,31.6,46.3,16.1
Valparaiso,El Tabo,13.4,9.7,1.0,530.4,15.5,3.1,25.0,20.5,31.3,49.7,23.0
Metropolitana de Santiago,Curacavi,13.3,29.9,2.4,472.2,14.3,2.2,19.8,30.4,44.3,41.5,11.4
Arica y Parinacota,Arica,13.2,39.3,3.4,114.3,15.1,2.8,24.5,17.3,35.0,11.6,81.3
Valparaiso,Cartagena,13.1,12.2,2.0,501.1,15.4,2.7,13.7,25.5,41.1,45.2,11.1
